Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3.63 ,4.72 ,2.41 ,3.16 ,2.56 ,3.39 ,2.38 ,3.12 ,1.31 ,1.73 
3.51 ,4.36 ,2.34 ,2.92 ,2.48 ,3.11 ,2.31 ,2.88 ,1.26 ,1.61 
3.75 ,4.48 ,2.51 ,3.00 ,2.65 ,3.20 ,2.47 ,2.96 ,1.35 ,1.65 
3.95 ,4.63 ,2.65 ,3.11 ,2.79 ,3.30 ,2.61 ,3.06 ,1.42 ,1.71 
3.65 ,4.29 ,2.47 ,2.90 ,2.32 ,2.80 ,2.20 ,2.63 ,1.19 ,1.46 
4.75 ,5.36 ,3.21 ,3.62 ,3.01 ,3.47 ,2.84 ,3.25 ,1.54 ,1.81 
4.65 ,5.24 ,3.12 ,3.52 ,3.12 ,3.56 ,2.92 ,3.32 ,1.59 ,1.84 
4.52 ,5.10 ,3.02 ,3.40 ,3.11 ,3.55 ,2.90 ,3.30 ,1.58 ,1.83 
4.46 ,5.03 ,2.97 ,3.35 ,3.08 ,3.51 ,2.87 ,3.26 ,1.57 ,1.82 
3.56 ,4.14 ,2.36 ,2.75 ,2.44 ,2.88 ,2.29 ,2.68 ,1.25 ,1.49 
2.58 ,3.16 ,1.70 ,2.09 ,1.86 ,2.30 ,1.76 ,2.15 ,0.96 ,1.21 
2.20 ,2.78 ,1.43 ,1.82 ,1.55 ,1.98 ,1.45 ,1.85 ,0.81 ,1.05 
2.12 ,2.71 ,1.37 ,1.77 ,1.46 ,1.90 ,1.36 ,1.75 ,0.76 ,1.01 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
